resid,Female,watchnat,ReadNews,pnintst,Education,income,Voted,prop,infopro,WatchProgram,learnpro,TreatmentGroup,prop_dv,InformationLevel,prop_vote,white,partyid,PoliticalInterest
10052880,1,6,6,3,7,4,1,1,2,1,1,1,0,3,1,1,6,3
10052910,0,6,7,4,11,10,1,1,1,0,NA,1,0,4,1,1,2,4
10052930,0,7,7,4,11,NA,0,NA,3,0,NA,1,1,2,NA,1,1,4
10052950,0,6,7,4,11,4,1,1,1,1,1,1,0,4,1,1,1,4
10053090,0,7,2,3,11,1,1,2,4,0,NA,1,0,1,0,1,6,3
10053320,1,6,2,3,12,2,1,1,2,0,NA,1,0,3,1,1,2,3
10053350,0,6,3,3,8,3,1,1,1,1,3,1,0,4,1,1,3,3
10053490,1,6,7,4,11,7,1,1,2,0,NA,1,0,3,1,0,6,4
10053530,1,NA,1,3,8,4,0,NA,-3,0,NA,1,1,NA,NA,1,7,3
10053610,0,6,7,3,11,11,1,1,1,0,NA,1,0,4,1,1,1,3
10053680,1,7,7,3,4,4,0,NA,3,1,3,1,1,2,NA,1,1,3
10053720,0,7,7,3,4,7,1,1,1,0,NA,1,0,4,1,1,6,3
10053770,1,2,7,3,4,3,1,1,2,1,1,1,0,3,1,1,6,3
10053820,1,5,2,3,11,8,1,1,2,0,NA,1,0,3,1,1,2,3
10053900,1,7,7,4,13,11,1,1,2,0,NA,1,0,3,1,0,1,4
10053910,1,7,7,4,10,5,1,1,1,1,4,1,0,4,1,1,7,4
10053990,0,7,2,4,11,6,0,NA,1,1,1,1,1,4,NA,0,5,4
10054030,0,5,7,3,9,8,1,1,1,0,NA,1,0,4,1,1,1,3
10054190,1,6,6,3,7,6,1,1,1,0,NA,1,0,4,1,1,3,3
10054250,1,6,1,1,9,5,1,2,3,0,NA,1,0,2,0,1,4,1
10054270,1,6,7,4,11,3,1,1,2,0,NA,1,0,3,1,1,1,4
