DistNumber,Year,CycleSwitch,AfterSwitch,AvgSalary
4811250,2006,0,0,47086.28341
4811250,2007,0,1,47118.35648
4811250,2008,0,1,44588.98601
4811250,2009,0,1,45185.07318
4811280,2003,0,0,45578.52425
4811280,2004,0,0,44407.56866
4811280,2005,0,0,43416.98632
4811280,2006,0,0,44801.93968
4811280,2007,0,1,44229.25148
4811280,2008,0,1,43914.99113
4811280,2009,0,1,43232.62677
4811310,2003,0,0,41477.67993
4811310,2004,0,0,40989.83733
4811310,2005,0,0,40865.01489
4811310,2006,0,0,42299.30361
4811310,2007,0,1,41813.87836
4811310,2008,0,1,41111.00256
4811310,2009,0,1,42577.67244
4811340,2003,0,0,45118.71742
4811340,2004,0,0,45141.70052
4811340,2005,0,0,42700.88423
4811340,2006,0,0,44167.03715
4811340,2007,0,1,43140.53506
4811340,2008,0,1,46879.01052
4811340,2009,0,1,47818.70852
4811400,2003,0,0,45401.86957
4811400,2004,0,0,41999.87755
4811400,2005,0,0,43489.58968
4811400,2006,0,0,44724.58619
4811400,2007,0,1,44473.34508
4811400,2008,0,1,44723.98906
4811400,2009,0,1,45033.77304
4811430,2003,0,0,41573.59577
4811430,2004,0,0,41084.46832
4811430,2005,0,0,38023.71012
4811430,2006,0,0,40888.44373
4811430,2007,0,1,39476.80002
4811430,2008,0,1,38627.98498
4811430,2009,0,1,40192.72883
4811460,2003,1,0,43670.25532
4811460,2004,1,0,42274.62288
4811460,2005,1,0,41069.58216
4811460,2006,1,0,43596.72668
4811460,2007,1,1,44414.64174
4811460,2008,1,1,43334.9978
4811460,2009,1,1,44359.90776
4811490,2003,0,0,40785.04493
4811490,2004,0,0,40381.06617
4811490,2005,0,0,39293.09238
4811490,2006,0,0,40503.67645
4811490,2007,0,1,42220.71418
4811490,2008,0,1,42708.0113
4811490,2009,0,1,42838.29976
4811520,2003,1,0,42258.05616
4811520,2004,1,0,41633.94363
4811520,2005,1,0,43162.88096
4811520,2006,1,0,43405.93241
4811520,2007,1,1,43324.87375
4811520,2008,1,1,42520.01148
4811520,2009,1,1,42344.14483
